<meta message track_name name='Sound 2' time=0>
<meta message instrument_name name='Microsoft GS ²¨±íÈí¼þºÏ³ÉÆ÷' time=0>
note_off channel=0 note=57 velocity=64 time=6
note_on channel=0 note=52 velocity=80 time=24
control_change channel=0 control=7 value=80 time=70
note_off channel=0 note=52 velocity=64 time=146
note_on channel=0 note=36 velocity=80 time=24
note_on channel=0 note=48 velocity=80 time=0
control_change channel=0 control=7 value=85 time=30
control_change channel=0 control=7 value=90 time=100
note_off channel=0 note=36 velocity=64 time=194
note_off channel=0 note=48 velocity=64 time=0
control_change channel=0 control=7 value=92 time=6
note_on channel=0 note=48 velocity=80 time=30
control_change channel=0 control=7 value=95 time=70
note_off channel=0 note=48 velocity=64 time=38
note_on channel=0 note=58 velocity=80 time=12
note_off channel=0 note=58 velocity=64 time=324
note_on channel=0 note=55 velocity=80 time=36
note_off channel=0 note=55 velocity=64 time=108
note_on channel=0 note=41 velocity=80 time=12
note_off channel=0 note=41 velocity=64 time=216
note_on channel=0 note=48 velocity=80 time=24
note_off channel=0 note=48 velocity=64 time=216
note_on channel=0 note=53 velocity=80 time=24
note_off channel=0 note=53 velocity=64 time=216
